doc_id,original_text,processed_text
1,What is the step by step guide to invest in share market in india?,step step guid invest share market india
2,What is the step by step guide to invest in share market?,step step guid invest share market
3,What is the story of Kohinoor (Koh-i-Noor) Diamond?,stori kohinoor koh-i-noor diamond
4,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,would happen indian govern stole kohinoor koh-i-noor diamond back
5,How can I increase the speed of my internet connection while using a VPN?,increas speed internet connect use vpn
6,How can Internet speed be increased by hacking through DNS?,internet speed increas hack dn
7,Why am I mentally very lonely? How can I solve it?,mental lone solv
8,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",find remaind math /math divid
9,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",one dissolv water quikli sugar salt methan carbon di oxid
10,Which fish would survive in salt water?,fish would surviv salt water
11,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,astrolog capricorn sun cap moon cap rise ... say
12,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",'m tripl capricorn sun moon ascend capricorn say
13,Should I buy tiago?,buy tiago
14,What keeps childern active and far from phone and video games?,keep childern activ far phone video game
15,How can I be a good geologist?,good geologist
16,What should I do to be a great geologist?,great geologist
17,When do you use シ instead of し?,use シ instead し
18,"When do you use ""&"" instead of ""and""?",use `` '' instead `` ''
19,Motorola (company): Can I hack my Charter Motorolla DCX3400?,motorola compani hack charter motorolla dcx
20,How do I hack Motorola DCX3400 for free internet?,hack motorola dcx free internet
21,Method to find separation of slits using fresnel biprism?,method find separ slit use fresnel biprism
22,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,thing technician tell durabl reliabl laptop compon
23,How do I read and find my YouTube comments?,read find youtub comment
24,How can I see all my Youtube comments?,see youtub comment
25,What can make Physics easy to learn?,make physic easi learn
26,How can you make physics easy to learn?,make physic easi learn
27,What was your first sexual experience like?,first sexual experi like
28,What was your first sexual experience?,first sexual experi
29,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",law chang statu student visa green card u compar immigr law canada
30,What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,law chang statu student visa green card u compar immigr law japan
31,What would a Trump presidency mean for current international master’s students on an F1 visa?,would trump presid mean current intern master ’ student f visa
32,How will a Trump presidency affect the students presently in US or planning to study in US?,trump presid affect student present u plan studi u
33,What does manipulation mean?,manipul mean
34,What does manipulation means?,manipul mean
35,Why do girls want to be friends with the guy they reject?,girl want friend guy reject
36,How do guys feel after rejecting a girl?,guy feel reject girl
37,Why are so many Quora users posting questions that are readily answered on Google?,mani quora user post question readili answer googl
38,Why do people ask Quora questions which can be answered easily by Google?,peopl ask quora question answer easili googl
39,Which is the best digital marketing institution in banglore?,best digit market institut banglor
40,Which is the best digital marketing institute in Pune?,best digit market institut pune
41,Why do rockets look white?,rocket look white
42,Why are rockets and boosters painted white?,rocket booster paint white
43,What's causing someone to be jealous?,'s caus someon jealou
44,What can I do to avoid being jealous of someone?,avoid jealou someon
45,What are the questions should not ask on Quora?,question ask quora
